c1,c2,points,freq,mu,var
-#-,-#-,100,0.00432799157796233,0.432799157796234,43.0926006686342
-7-,-7-,100,0.121768627909697,9.73973564159551,690.641702164294
-B-,-B-,100,0.0953327874605217,8.46999649081764,689.950585343303
-B-,-P-,95,0.0953327874605217,8.46999649081764,689.950585343303
-B-,-W-,70,0.0953327874605217,8.46999649081764,689.950585343303
-W-,-B-,70,0.0953327874605217,8.46999649081764,689.950585343303
-C-,-C-,100,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-CH-,100,0.310211720669084,23.9712247046438,1301.79283205958
-D-,-D-,100,0.318516785588958,28.6431161539361,1778.75893641194
-D-,-T-,95,0.318516785588958,28.6431161539361,1778.75893641194
-F-,-F-,100,0.0672593285764417,6.25687214878933,544.767798428034
-F-,-V-,95,0.0672593285764417,6.25687214878933,544.767798428034
-G-,-G-,100,0.162475143291613,15.1029360159083,1180.93454395906
-G-,-K-,95,0.162475143291613,15.1029360159083,1180.93454395906
-H-,-H-,100,0.154988887589192,13.6980933442508,1028.60682874272
-J-,-J-,100,0.0290092408468827,2.65177213709206,240.704681910413
-K-,-K-,100,0.154988887589192,14.6976254532694,1183.97395739814
-K-,-G-,95,0.154988887589192,14.6976254532694,1183.97395739814
-KH-,-KH-,100,0.248918002105509,22.5868522634226,1547.06009617434
-L-,-L-,100,0.151596677974032,12.3417943619137,884.608407635336
-M-,-M-,100,0.083167621944087,8.3167621944087,762.507686042524
-N-,-N-,100,0.160720552111358,16.0720552111358,1348.89456240378
-P-,-P-,100,0.092642414317464,8.40741607205521,695.957652336066
-P-,-B-,95,0.092642414317464,8.40741607205521,695.957652336066
-R-,-R-,100,0.168908644285881,15.0742776932975,1150.86885409577
-S-,-S-,100,0.318516785588958,27.3201544040239,1625.94510906494
-SH-,-SH-,100,0.289156626506024,23.6261551058603,1395.08588042091
-T-,-T-,100,0.318516785588958,29.2987483916247,1851.35349123965
-T-,-D-,95,0.318516785588958,29.2987483916247,1851.35349123965
-TH-,-TH-,100,0.268218505088314,21.5738682886887,1286.56551668917
-V-,-V-,100,0.105977307287402,9.48473505673178,769.377150301193
-V-,-F-,95,0.105977307287402,9.48473505673178,769.377150301193
-W-,-W-,100,0.0513510352087964,3.99461925371388,303.671043687644
-Z-,-Z-,100,0.288337817288572,25.002339454907,1559.31102505684
-Z-,-S-,95,0.288337817288572,25.002339454907,1559.31102505684
-ZH-,-ZH-,100,0.249039776056246,21.5412408046351,1403.24921059503
-ZH-,-SH-,95,0.249039776056246,21.5412408046351,1403.24921059503
-SH-,-ZH-,95,0.289156626506024,23.6261551058603,1395.08588042091
-KH-,-R-,95,0.248918002105509,22.5868522634226,1547.06009617434
-R-,-KH-,95,0.168908644285881,15.0742776932975,1150.86885409577
-KH-,-H-,95,0.248918002105509,22.5868522634226,1547.06009617434
-H-,-KH-,95,0.154988887589192,13.6980933442508,1028.60682874272
-P-,-F-,85,0.092642414317464,8.40741607205521,695.957652336066
-F-,-P-,85,0.0672593285764417,6.25687214878933,544.767798428034
-B-,-F-,85,0.092642414317464,8.40741607205521,695.957652336066
-F-,-B-,85,0.0672593285764417,6.25687214878933,544.767798428034
-P-,-V-,85,0.092642414317464,8.40741607205521,695.957652336066
-V-,-P-,85,0.105977307287402,9.48473505673178,769.377150301193
-T-,-TH-,85,0.318516785588958,29.2987483916247,1851.35349123965
-TH-,-T-,85,0.268218505088314,21.5738682886887,1286.56551668917
-D-,-TH-,85,0.318516785588958,28.6431161539361,1778.75893641194
-TH-,-D-,85,0.268218505088314,21.5738682886887,1286.56551668917
-T-,-S-,85,0.318516785588958,29.2987483916247,1851.35349123965
-S-,-T-,85,0.318516785588958,27.3201544040239,1625.94510906494
-D-,-S-,85,0.318516785588958,28.6431161539361,1778.75893641194
-S-,-D-,85,0.318516785588958,27.3201544040239,1625.94510906494
-T-,-Z-,85,0.318516785588958,29.2987483916247,1851.35349123965
-Z-,-T-,85,0.288337817288572,25.002339454907,1559.31102505684
-D-,-Z-,85,0.318516785588958,28.6431161539361,1778.75893641194
-Z-,-D-,85,0.288337817288572,25.002339454907,1559.31102505684
-T-,-SH-,85,0.318516785588958,29.2987483916247,1851.35349123965
-SH-,-T-,85,0.289156626506024,23.6261551058603,1395.08588042091
-D-,-SH-,85,0.318516785588958,28.6431161539361,1778.75893641194
-SH-,-D-,85,0.289156626506024,23.6261551058603,1395.08588042091
-K-,-KH-,85,0.154988887589192,14.6976254532694,1183.97395739814
-KH-,-K-,85,0.248918002105509,22.5868522634226,1547.06009617434
-G-,-KH-,85,0.162475143291613,15.1029360159083,1180.93454395906
-KH-,-G-,85,0.248918002105509,22.5868522634226,1547.06009617434
-K-,-H-,85,0.154988887589192,14.6976254532694,1183.97395739814
-H-,-K-,85,0.154988887589192,13.6980933442508,1028.60682874272
-G-,-H-,85,0.162475143291613,15.1029360159083,1180.93454395906
-H-,-G-,85,0.154988887589192,13.6980933442508,1028.60682874272
-CH-,-C-,85,0.310211720669084,23.9712247046438,1301.79283205958
-C-,-CH-,85,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-T-,85,0.310211720669084,23.9712247046438,1301.79283205958
-T-,-CH-,85,0.318516785588958,29.2987483916247,1851.35349123965
-T-,-C-,85,0.318516785588958,29.2987483916247,1851.35349123965
-C-,-T-,85,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-D-,70,0.310211720669084,23.9712247046438,1301.79283205958
-D-,-CH-,70,0.318516785588958,28.6431161539361,1778.75893641194
-D-,-C-,70,0.318516785588958,28.6431161539361,1778.75893641194
-C-,-D-,70,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-Z-,70,0.310211720669084,23.9712247046438,1301.79283205958
-Z-,-CH-,70,0.288337817288572,25.002339454907,1559.31102505684
-Z-,-C-,70,0.288337817288572,25.002339454907,1559.31102505684
-C-,-Z-,70,0.310211720669084,23.9606971575623,1300.34984141361
-S-,-C-,70,0.318516785588958,27.3201544040239,1625.94510906494
-C-,-S-,70,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-SH-,70,0.310211720669084,23.9712247046438,1301.79283205958
-SH-,-CH-,70,0.289156626506024,23.6261551058603,1395.08588042091
-SH-,-C-,70,0.289156626506024,23.6261551058603,1395.08588042091
-C-,-SH-,70,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-TH-,70,0.310211720669084,23.9712247046438,1301.79283205958
-TH-,-CH-,70,0.268218505088314,21.5738682886887,1286.56551668917
-TH-,-C-,70,0.268218505088314,21.5738682886887,1286.56551668917
-C-,-TH-,70,0.310211720669084,23.9606971575623,1300.34984141361
-V-,-W-,70,0.105977307287402,9.48473505673178,769.377150301193
-S-,-SH-,70,0.318516785588958,27.3201544040239,1625.94510906494
-SH-,-S-,70,0.289156626506024,23.6261551058603,1395.08588042091
-W-,-V-,70,0.0513510352087964,3.99461925371388,303.671043687644
-Z-,-ZH-,85,0.288337817288572,25.002339454907,1559.31102505684
-ZH-,-Z-,85,0.249039776056246,21.5412408046351,1403.24921059503
-S-,-ZH-,85,0.318516785588958,27.3201544040239,1625.94510906494
-ZH-,-S-,85,0.249039776056246,21.5412408046351,1403.24921059503
-V-,-B-,85,0.105977307287402,9.48473505673178,769.377150301193
-B-,-V-,85,0.0953327874605217,8.46999649081764,689.950585343303
-K-,-7-,85,0.154988887589192,14.6976254532694,1183.97395739814
-7-,-K-,85,0.121768627909697,9.73973564159551,690.641702164294
-H-,-7-,70,0.154988887589192,13.6980933442508,1028.60682874272
-7-,-H-,70,0.121768627909697,9.73973564159551,690.641702164294
-L-,-R-,70,0.151596677974032,12.3417943619137,884.608407635336
-R-,-L-,70,0.168908644285881,15.0742776932975,1150.86885409577
-0-,-0-,100,0.0,0.0,0.0
-KH-,-7-,70,0.248918002105509,22.5868522634226,1547.06009617434
-7-,-KH-,70,0.121768627909697,9.73973564159551,690.641702164294
-TH-,-S-,70,0.268218505088314,21.5738682886887,1286.56551668917
-T-,-ZH-,85,0.318516785588958,29.2987483916247,1851.35349123965
-ZH-,-T-,85,0.249039776056246,21.5412408046351,1403.24921059503
-S-,-TH-,70,0.318516785588958,27.3201544040239,1625.94510906494
-J-,-ZH-,70,0.0290092408468827,2.65177213709206,240.704681910413
-ZH-,-J-,70,0.180880151031834,15.0672156760628,1035.38298937663
-G-,-ZH-,85,0.162475143291613,15.1029360159083,1180.93454395906
-ZH-,-G-,85,0.180880151031834,15.0672156760628,1035.38298937663
-N-,-NG-,85,0.160720552111358,16.0720552111358,1348.89456240378
-NG-,-N-,85,0.160720552111358,13.6612469294654,974.576321336733
-N-,-NN-,70,0.160720552111358,16.0720552111358,1348.89456240378
-NN-,-N-,70,0.160720552111358,11.2504386477951,660.958335577854
-NG-,-NN-,70,0.160720552111358,13.6612469294654,974.576321336733
-NN-,-NG-,70,0.160720552111358,11.2504386477951,660.958335577854
-NN-,-NN-,100,0.160720552111358,11.2504386477951,660.958335577854
-NG-,-NG-,100,0.160720552111358,13.6612469294654,974.576321336733
-S-,-Z-,95,0.318516785588958,27.3201544040239,1625.94510906494
